concept,x1,x2,x3,x4,x5,x6,x7,x8,x9
true,5,21,23,8,17,19,10,15,27
true,27,8,10,24,20,12,3,5,14
true,26,5,21,10,19,17,8,14,1
true,21,5,1,23,16,27,25,14,12
true,3,7,16,9,5,27,1,13,19
true,27,19,2,14,25,10,6,23,16
true,26,2,19,17,7,12,14,24,22
true,24,22,1,15,26,12,4,8,18
true,12,24,4,7,27,9,2,22,19
true,17,22,1,26,5,9,15,20,24
true,7,19,26,15,4,12,9,1,21
true,15,23,25,11,8,3,17,19,6
true,11,1,19,21,25,6,14,9,17
true,19,22,4,14,9,12,26,24,2
true,11,23,14,6,17,1,8,21,25
true,16,9,14,27,20,2,7,25,4
true,12,27,1,8,18,15,23,20,6
true,6,1,14,3,17,24,21,26,10
true,27,19,6,22,8,16,3,10,1
true,19,23,1,16,14,21,7,26,4
true,2,4,19,26,9,6,14,11,16
true,20,6,13,25,3,1,23,18,16
true,6,15,25,11,27,9,23,3,21
true,2,25,19,12,27,23,10,6,14
true,11,3,23,21,26,6,1,17,13
true,13,22,2,11,26,8,16,20,24
true,1,3,24,26,7,20,22,13,9
true,8,3,24,13,6,22,19,11,16
true,6,9,11,20,1,18,16,24,3
true,8,14,6,22,2,12,25,17,20
true,6,22,12,19,26,15,17,10,4
true,25,1,13,16,3,22,10,5,18
true,6,12,25,23,9,16,1,21,3
true,3,18,6,13,15,8,27,11,23
true,21,7,19,11,1,23,25,27,9
true,9,20,15,27,22,6,4,12,1
true,11,9,24,1,27,19,5,17,21
true,20,17,27,3,11,1,23,13,8
true,20,1,14,5,22,9,24,16,18
true,6,27,12,10,25,21,19,1,14
true,25,27,10,3,20,7,14,18,5
true,18,3,27,14,25,1,22,11,16
true,19,13,16,6,27,22,11,4,2
true,27,5,12,7,9,1,20,17,14
true,8,24,11,27,22,5,19,3,13
true,10,7,1,3,17,19,22,27,15
true,27,16,7,25,5,23,18,12,14
true,12,4,8,16,18,1,6,20,24
true,21,19,17,26,15,1,8,24,13
true,5,22,14,11,20,7,1,17,9
true,12,27,9,1,6,20,3,17,22
true,21,25,18,16,14,23,11,6,4
true,15,2,4,6,17,25,10,23,12
true,5,8,26,21,18,2,16,24,14
true,17,12,1,5,3,10,20,14,8
true,13,15,10,8,26,24,17,4,2
true,18,13,10,6,21,3,23,27,1
true,8,20,1,3,16,14,26,5,24
true,12,22,15,10,1,24,6,8,18
true,11,4,19,15,17,21,9,23,1
true,12,10,24,8,6,19,15,21,1
true,27,20,9,7,25,18,15,11,5
true,11,17,22,26,6,15,8,13,19
true,17,21,12,7,5,27,15,23,19
true,10,16,14,6,2,21,8,25,27
true,27,22,13,24,3,1,15,6,11
true,5,13,9,24,16,27,11,1,20
true,18,3,24,8,6,1,21,16,10
true,27,20,11,6,18,22,25,16,9
true,26,11,19,3,9,24,14,22,7
true,9,6,18,2,12,14,25,16,4
true,12,20,4,14,9,1,26,24,6
true,15,24,19,7,10,12,1,22,26
true,19,7,12,9,17,21,23,3,5
true,17,21,2,15,25,19,6,9,11
true,26,20,24,8,12,2,10,17,15
true,6,15,27,1,23,17,13,10,20
true,24,8,5,3,10,14,20,26,16
true,13,15,20,6,24,10,18,4,2
true,1,11,22,8,26,13,6,15,18
true,20,12,3,24,27,17,22,15,1
true,23,6,9,20,27,3,11,1,25
true,11,16,8,14,2,4,20,27,6
true,12,24,15,18,3,1,27,8,21
true,10,18,14,20,3,1,5,26,24
true,21,5,16,25,19,13,8,2,27
true,12,16,26,3,20,10,23,6,8
true,27,22,17,14,2,11,8,20,6
true,8,1,17,6,21,26,24,3,13
true,2,15,24,4,10,6,21,8,27
true,5,22,3,1,11,25,8,27,13
true,24,3,7,12,22,16,19,1,27
true,1,10,16,5,7,23,26,18,21
true,2,27,16,24,9,13,11,6,19
true,11,13,2,4,27,19,21,17,8
true,7,3,24,16,18,9,26,11,5
true,24,6,1,4,16,26,13,11,8
true,21,23,4,12,25,8,16,19,10
true,1,12,5,7,27,15,3,9,25
true,9,18,21,4,12,27,23,7,16
false,7,24,4,18,5,3,17,9,23
false,23,14,26,14,12,23,1,24,12
false,6,22,16,5,26,9,14,10,6
false,23,8,8,16,6,16,23,15,20
false,5,18,17,19,26,13,21,11,10
false,20,6,5,4,16,25,27,12,6
false,15,21,8,16,5,17,24,15,5
false,25,10,15,8,5,10,6,12,23
false,14,16,27,5,12,25,5,24,2
false,11,19,18,25,27,16,9,4,16
false,2,20,6,2,9,14,11,14,20
false,18,25,16,21,26,17,14,3,18
false,15,10,12,2,20,21,19,22,5
false,20,13,25,7,16,23,4,8,4
false,21,26,18,16,22,18,10,3,9
false,13,3,1,10,23,21,18,12,27
false,1,13,6,15,9,23,18,1,7
false,16,17,19,16,10,26,26,18,15
false,12,12,9,3,14,6,26,1,21
false,3,11,7,12,1,13,12,14,11
false,17,10,9,2,18,3,4,20,12
false,2,24,14,23,6,8,2,2,22
false,4,5,21,20,9,5,13,10,11
false,14,3,17,24,2,8,24,17,23
false,16,27,26,8,5,20,3,18,21
false,19,27,7,27,20,1,21,9,6
false,22,12,19,2,4,23,2,20,4
false,4,27,3,19,9,14,23,25,20
false,19,22,19,9,15,22,17,22,7
false,13,17,2,8,4,2,16,26,5
false,2,1,21,25,2,18,27,22,26
false,24,2,5,17,4,4,9,8,25
false,14,20,14,2,6,3,11,22,6
false,23,13,1,22,18,25,6,12,2
false,9,12,17,13,13,15,12,11,24
false,8,9,22,3,19,20,16,5,26
false,8,1,4,23,8,18,21,12,3
false,11,10,6,15,25,10,8,21,1
false,3,3,16,8,21,24,25,14,24
false,14,5,5,4,2,10,9,9,9
false,24,8,25,13,21,6,6,14,3
false,2,4,14,22,16,19,20,4,4
false,11,2,21,25,3,23,16,2,21
false,4,26,3,15,10,16,23,11,19
false,27,4,1,14,15,16,6,20,15
false,14,11,4,2,16,27,6,6,7
false,14,27,16,14,7,13,13,15,1
false,16,25,17,20,6,19,22,12,1
false,2,6,9,17,14,9,9,11,22
false,9,7,17,24,5,19,6,7,5
false,24,5,21,3,25,1,21,25,3
false,12,19,3,6,3,20,22,9,22
false,20,25,18,13,4,3,9,10,17
false,11,19,9,18,11,17,17,3,18
false,8,19,12,12,14,5,16,6,7
false,9,19,9,20,12,5,22,6,6
false,3,11,13,18,1,11,12,5,11
false,7,18,16,24,10,1,20,20,15
false,18,7,12,16,7,7,16,3,17
false,7,7,11,17,10,22,4,5,3
false,20,14,7,4,23,23,9,22,2
false,15,5,1,24,27,20,13,27,9
false,19,8,17,8,12,8,2,22,10
false,23,8,26,11,23,7,4,27,17
false,21,12,7,4,15,26,26,10,6
false,1,18,14,4,6,17,3,1,26
false,20,18,10,9,11,13,20,8,9
false,8,22,17,22,2,18,10,22,9
false,3,13,4,22,3,24,2,1,22
false,5,23,10,27,5,13,2,3,9
false,21,12,3,9,12,23,20,21,13
false,13,22,19,7,21,14,22,23,24
false,8,1,5,23,21,25,20,6,20
false,5,21,17,19,3,16,12,26,23
false,12,1,9,20,7,23,23,14,1
false,25,23,18,21,14,24,17,16,27
false,21,2,21,4,11,1,8,25,14
false,22,21,14,27,9,17,26,24,5
false,22,26,3,23,3,26,13,13,8
false,19,24,26,3,4,6,22,10,16
false,7,3,13,17,21,6,17,22,13
false,8,5,21,12,6,22,17,15,4
false,22,21,17,15,9,3,14,5,3
false,7,13,12,15,14,9,26,12,17
false,5,8,11,7,27,17,18,21,3
false,19,21,22,22,5,10,10,19,3
false,11,14,15,1,14,16,14,5,21
false,14,10,3,15,8,20,22,17,24
false,23,6,9,23,12,16,10,17,21
false,11,11,5,17,6,25,3,26,5
false,13,9,7,4,10,26,12,25,20
false,21,8,5,3,19,19,18,26,19
false,4,15,18,7,24,13,10,9,27
false,15,20,7,3,16,25,5,16,11
false,1,8,19,13,3,25,12,7,6
false,10,17,10,18,5,3,9,1,13
false,17,20,3,27,24,16,7,14,22
false,23,26,3,2,6,18,6,26,12
false,8,5,13,8,20,9,22,24,7
false,4,10,5,16,27,11,1,2,25
