concept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
true,1,2,3,5,1,3,2,1,1,2,1,2
true,1,4,1,1,3,3,2,2,2,2,1,2
true,5,1,1,2,1,1,1,4,1,1,3,3
true,2,2,1,1,3,1,3,2,2,1,4,2
true,1,1,1,1,2,2,1,3,3,5,1,3
true,3,2,1,1,2,2,1,6,1,1,3,1
true,8,1,1,1,2,1,1,2,3,2,1,1
true,1,2,2,2,1,2,1,1,3,4,1,4
true,5,1,2,3,1,1,3,1,1,2,1,3
true,3,1,2,2,1,3,1,1,1,4,3,2
true,1,2,1,2,4,1,1,2,1,5,3,1
true,2,2,1,2,1,1,2,3,3,3,3,1
true,1,3,1,3,3,3,1,2,2,1,2,2
true,1,1,1,3,4,1,1,2,2,2,4,2
true,2,2,1,3,2,2,2,2,3,1,3,1
true,1,1,3,2,1,1,3,3,2,4,1,2
true,2,1,2,4,1,2,2,1,2,1,5,1
true,2,1,1,3,1,1,2,1,1,6,2,3
true,4,3,2,1,1,1,1,2,2,2,1,4
true,1,1,1,2,2,1,1,2,8,2,2,1
true,1,1,3,1,3,1,3,1,2,4,3,1
true,2,2,1,3,1,1,3,1,3,1,1,5
true,2,1,2,4,1,1,1,2,6,1,2,1
true,2,1,1,2,2,1,3,4,1,1,5,1
true,2,3,1,1,5,2,1,1,1,3,2,2
true,2,3,2,2,2,3,2,3,1,1,2,1
true,1,1,4,2,2,4,2,2,1,3,1,1
true,1,1,1,1,1,4,1,1,3,8,1,1
true,1,1,3,1,3,2,1,2,4,3,2,1
true,1,3,1,2,1,3,1,4,1,4,2,1
true,1,5,2,1,3,3,2,1,2,2,1,1
true,2,1,2,3,3,1,1,2,4,3,1,1
true,2,1,1,4,1,4,2,4,2,1,1,1
true,1,4,2,1,1,2,1,2,1,6,1,2
true,1,1,1,5,3,1,1,2,2,4,2,1
true,5,1,2,2,1,2,1,5,1,1,2,1
true,3,2,1,2,2,1,1,5,1,2,1,3
true,2,4,1,1,1,1,2,2,2,2,5,1
true,4,2,3,2,2,1,2,1,2,1,1,3
true,1,4,1,1,1,4,1,1,6,1,1,2
true,1,1,1,6,1,3,1,3,1,2,3,1
true,3,2,2,3,2,1,2,2,2,1,1,3
true,2,1,1,3,2,1,2,3,2,4,1,2
true,1,1,1,2,3,2,1,2,4,2,1,4
true,2,1,1,2,1,1,2,2,4,2,3,3
true,1,1,2,1,5,4,3,2,1,1,2,1
true,1,2,3,1,1,1,2,2,5,1,4,1
true,2,4,1,1,3,1,1,3,4,1,2,1
true,2,1,3,3,1,1,1,2,2,4,2,2
true,1,1,1,2,4,3,1,1,1,1,6,2
true,1,1,1,2,1,5,1,1,2,2,1,6
true,1,3,1,1,1,1,1,2,7,3,2,1
true,1,1,1,1,1,8,4,3,1,1,1,1
true,2,4,2,1,1,3,2,1,3,1,3,1
true,1,1,1,4,1,2,4,1,4,1,1,3
true,1,1,1,3,1,3,3,3,2,1,1,4
true,2,2,4,3,5,1,1,1,1,1,2,1
true,1,4,2,1,3,1,1,5,1,1,3,1
true,3,1,5,1,1,5,3,1,1,1,1,1
true,5,1,2,3,2,3,1,2,1,2,1,1
true,2,3,1,2,2,1,1,3,3,1,1,4
true,1,2,5,1,3,1,3,1,1,3,1,2
true,1,1,2,1,2,2,2,4,3,1,4,1
true,1,1,1,2,1,1,3,4,5,1,2,2
true,1,6,1,2,2,1,1,1,1,3,1,4
true,2,1,2,1,2,4,2,2,2,1,1,4
true,2,3,1,1,2,4,1,1,2,2,1,4
true,1,1,1,1,1,4,1,4,3,3,1,3
true,2,2,1,2,2,2,1,2,2,4,3,1
true,1,1,1,1,6,1,1,1,1,5,4,1
true,2,3,2,1,3,2,1,2,3,1,3,1
true,1,4,2,2,2,3,2,3,2,1,1,1
true,4,1,1,4,1,4,2,1,2,2,1,1
true,4,1,5,2,1,1,4,1,1,2,1,1
true,4,2,3,3,3,1,3,1,1,1,1,1
true,4,2,1,4,2,1,1,2,2,2,1,2
true,1,2,2,4,2,1,1,2,1,4,1,3
true,1,2,1,5,1,2,2,1,2,2,2,3
true,4,1,1,4,1,1,1,1,3,1,4,2
true,2,5,1,3,1,1,2,1,1,1,4,2
true,1,1,1,3,2,2,4,1,1,1,2,5
true,2,2,2,1,2,1,1,2,4,1,1,5
true,3,1,1,3,1,1,1,2,5,2,1,3
