concept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
true,22,47,15,26,33,18,1,29,4,39,44,11
true,5,8,22,27,17,2,30,43,13,40,46,34
true,47,15,3,35,32,41,12,6,29,25,9,21
true,44,12,26,17,23,20,39,36,33,8,2,5
true,44,5,48,1,28,39,12,22,32,16,8,35
true,2,9,32,6,39,15,22,29,12,47,44,26
true,24,45,11,1,7,27,48,16,30,41,20,36
true,48,13,9,30,41,16,23,19,44,26,33,2
true,4,28,7,1,10,14,33,18,42,39,23,36
true,47,17,2,13,25,42,9,5,20,33,38,29
true,17,14,32,23,39,45,28,3,9,35,20,42
true,2,14,40,18,27,11,44,5,23,47,33,36
true,39,33,8,23,20,17,36,47,13,44,1,4
true,31,37,26,34,12,17,5,48,23,8,45,1
true,44,37,30,26,23,5,34,20,40,1,8,16
true,25,40,34,10,46,43,2,28,21,6,18,31
true,20,27,33,30,37,7,40,47,44,3,12,15
true,20,17,43,14,36,6,47,39,3,27,23,30
true,12,16,38,32,48,45,1,9,29,41,19,6
true,23,34,16,2,5,42,48,38,31,26,13,19
true,36,2,48,44,33,16,39,22,13,10,19,27
true,1,5,23,29,19,11,14,35,32,48,44,26
true,28,9,37,15,18,34,2,22,31,47,44,40
true,36,6,1,17,48,25,44,32,22,12,29,39
true,27,8,35,41,13,2,48,19,5,38,32,45
true,10,32,25,28,36,22,46,43,1,18,15,4
true,45,26,5,17,13,9,36,20,32,2,39,48
true,40,36,9,6,31,23,14,47,17,27,43,20
true,10,23,27,42,18,36,33,15,46,30,39,4
true,2,12,28,46,43,24,17,5,37,31,40,21
true,31,12,5,48,2,45,28,24,21,34,15,37
true,5,15,1,42,9,28,47,34,39,25,31,20
true,32,14,17,5,44,2,11,20,25,37,48,41
true,13,38,10,26,29,7,1,34,22,19,44,48
true,5,14,41,37,21,2,34,48,10,17,28,25
true,47,35,8,20,29,32,39,12,44,16,3,25
true,29,25,17,39,42,36,32,5,9,12,48,45
true,22,45,25,32,41,48,2,7,36,18,15,12
true,41,14,22,35,44,8,28,38,18,32,48,2
true,32,37,21,44,48,6,3,9,41,27,24,14
true,1,14,22,17,26,34,40,8,37,48,44,4
true,21,45,3,8,41,29,37,24,14,32,48,18
true,45,15,29,38,9,42,20,6,48,12,2,25
true,15,25,31,38,22,11,7,35,18,1,44,48
true,33,30,2,37,10,16,48,7,22,19,25,42
true,24,36,44,31,27,12,8,40,2,47,17,21
true,25,7,45,18,30,39,10,14,2,35,21,48
true,4,32,7,22,35,19,1,46,38,29,14,42
true,43,14,47,40,11,30,5,25,8,36,21,2
true,46,28,22,25,1,19,34,37,41,16,11,4
true,18,27,11,39,45,24,30,2,15,5,34,48
true,2,5,34,48,23,41,10,38,19,26,15,45
true,21,17,44,9,47,24,27,37,14,34,40,31
true,15,21,44,38,30,5,2,9,18,48,24,33
true,5,38,42,1,33,48,22,18,12,26,45,9
true,11,27,36,1,17,23,5,47,39,14,42,30
true,37,12,34,2,21,27,40,8,16,5,24,43
true,22,1,40,33,9,43,46,16,25,37,4,12
true,12,38,19,6,27,33,9,46,3,23,43,15
true,20,30,39,48,42,45,23,2,36,5,10,27
true,40,22,37,26,32,11,29,6,18,1,14,46
true,24,40,30,33,27,15,48,8,43,37,20,1
true,26,34,15,43,2,29,12,37,18,6,9,47
true,17,30,25,1,33,8,21,39,13,42,5,47
true,46,42,24,2,5,35,9,21,30,16,12,39
true,39,4,1,26,16,48,30,20,43,13,36,23
true,30,23,3,20,13,45,27,33,17,48,41,8
true,20,42,39,13,31,28,2,9,24,46,36,6
true,18,48,30,10,33,44,2,37,14,6,24,40
true,44,31,48,6,34,41,28,17,21,24,38,3
true,2,48,40,36,16,29,9,22,44,19,26,13
true,4,7,11,18,43,1,48,31,36,14,26,39
true,43,36,15,2,24,33,9,12,6,29,48,21
true,43,13,22,36,8,19,4,26,1,16,48,33
true,20,16,31,25,13,1,36,43,28,40,8,4
true,48,18,27,36,7,14,33,11,24,39,43,4
true,39,36,17,47,10,44,5,2,31,27,14,22
true,35,17,38,25,41,45,9,28,32,3,20,14
true,12,44,47,4,35,18,29,9,24,15,32,39
true,13,34,25,29,37,16,45,6,41,22,10,3
true,18,48,15,21,3,44,27,35,11,24,41,38
true,19,42,4,46,34,27,38,14,1,8,11,30
true,48,3,24,37,30,44,41,6,27,9,34,17
true,47,11,29,32,35,24,14,3,17,39,6,42
true,33,27,14,39,17,46,21,11,3,30,43,6
true,8,14,37,11,4,43,31,18,28,1,48,40
true,28,38,2,44,32,35,15,19,9,47,25,22
true,20,2,26,39,33,36,17,29,42,10,23,5
true,31,12,26,36,6,40,1,47,19,44,9,23
true,25,22,14,42,4,32,7,48,35,39,17,29
true,2,15,33,20,8,44,26,23,41,30,11,36
true,35,2,17,24,28,14,31,10,40,6,47,21
true,37,2,41,5,46,9,34,28,13,19,31,25
true,36,33,40,8,22,46,11,19,25,4,43,30
true,24,21,5,40,35,8,32,43,13,1,17,48
true,43,39,21,48,13,24,18,6,9,1,34,27
