concept,x1,x2,x3,x4,x5,x6
true,24,3,20,14,9,17
true,12,24,16,4,1,7
true,21,4,17,1,9,14
true,22,12,1,8,19,16
true,5,1,15,20,8,23
true,20,24,6,12,3,17
true,2,19,5,23,11,14
true,20,24,8,14,1,17
true,10,16,2,22,7,19
true,23,11,2,15,6,18
true,2,23,15,20,8,12
true,13,23,5,8,2,18
true,5,11,2,8,18,22
true,6,9,24,15,3,12
true,13,8,19,16,24,3
true,24,5,13,10,18,21
true,15,1,5,9,12,24
true,21,14,18,5,8,11
true,19,1,11,23,6,16
true,6,14,9,17,1,23
true,21,24,13,5,8,17
true,3,22,17,11,6,14
true,11,8,18,4,15,21
true,10,13,24,16,3,6
true,23,19,9,2,16,6
true,16,19,22,2,9,6
true,2,22,19,9,16,13
true,4,11,21,15,7,24
true,2,16,23,19,6,12
true,6,24,19,13,16,1
true,15,22,11,1,19,5
true,7,10,23,20,13,2
true,24,14,11,17,7,4
true,10,13,17,24,2,21
true,8,19,14,5,1,23
true,17,24,20,14,5,9
true,2,5,23,14,9,17
true,23,20,1,4,13,9
true,5,20,16,24,10,2
true,19,4,9,16,1,22
true,21,8,24,2,18,15
true,4,22,17,13,1,10
true,20,16,7,1,10,4
true,22,6,18,10,15,3
true,4,20,1,23,11,8
true,8,24,11,4,18,1
true,12,1,15,9,4,21
true,1,9,14,23,18,5
true,2,24,5,16,21,12
true,10,24,4,15,20,7
true,23,17,9,20,3,12
true,2,5,21,14,11,17
true,10,6,13,16,21,2
true,13,9,2,16,5,24
true,9,24,3,16,13,6
true,20,11,17,14,23,1
true,24,9,1,6,18,14
true,23,16,20,8,1,13
true,11,8,21,15,18,3
true,17,11,14,21,5,2
true,15,9,5,12,24,1
true,13,6,17,9,23,3
true,15,20,6,23,12,1
true,24,19,6,12,15,3
true,5,11,14,24,1,17
true,19,9,1,23,4,14
true,18,5,14,1,22,8
true,5,16,2,13,10,24
true,12,20,17,9,5,2
true,11,24,18,21,8,4
true,19,16,22,10,13,4
true,10,1,21,4,15,24
true,2,23,6,11,19,15
true,24,9,2,5,19,13
true,7,23,3,16,20,13
true,17,8,24,5,13,20
true,1,16,12,23,19,5
true,9,15,3,24,6,18
true,11,23,18,4,8,14
true,24,16,11,7,3,20
true,18,15,2,21,8,12
true,10,1,23,16,19,7
true,20,24,12,3,16,9
true,16,11,2,6,20,23
true,9,16,12,21,2,24
true,10,17,24,13,6,20
true,24,1,20,16,13,8
true,7,1,23,4,13,18
true,2,20,23,6,15,10
true,2,11,20,17,14,8
true,10,17,4,13,7,23
true,14,1,17,23,11,7
true,5,9,2,12,19,24
true,23,18,1,5,14,11
true,3,20,14,11,17,8
true,19,22,2,9,12,15
true,17,10,2,13,7,24
