concept,x1,x2,x3,x4,x5,x6,x7,x8,x9
true,12,14,10,1,7,4,20,26,16
true,21,16,9,3,23,19,1,11,7
true,22,1,14,5,10,8,27,12,18
true,16,25,19,1,23,8,27,21,5
true,16,14,24,5,9,21,2,12,19
true,6,2,22,19,17,24,4,9,11
true,15,13,19,5,7,21,9,23,27
true,13,8,26,18,22,3,10,24,15
true,5,14,17,10,26,12,22,20,24
true,13,16,6,22,24,19,2,4,26
true,14,26,8,11,18,24,6,20,22
true,1,16,21,18,25,3,5,27,12
true,6,17,1,13,26,21,15,8,10
true,7,3,1,12,23,26,19,16,9
true,9,11,15,19,23,6,27,4,2
true,3,7,1,14,11,9,26,17,21
true,2,14,20,12,10,6,24,26,16
true,23,13,25,27,5,15,8,1,20
true,13,6,3,26,8,16,19,1,24
true,14,4,16,6,22,8,26,12,1
true,12,24,21,1,26,10,19,5,14
true,9,6,16,1,27,25,12,3,23
true,3,11,5,21,25,27,19,23,1
true,8,6,3,19,1,16,27,24,10
true,5,12,2,9,15,27,18,23,25
true,27,21,23,6,12,18,4,14,16
true,24,11,1,8,6,22,26,15,18
true,18,14,12,8,21,5,26,16,23
true,6,24,17,10,26,4,20,1,14
true,5,14,16,24,21,11,7,9,2
true,14,20,3,7,22,27,1,11,17
true,25,2,10,23,6,27,13,21,15
true,1,19,17,7,24,4,26,15,10
true,6,13,11,22,9,18,1,24,16
true,21,16,11,9,7,3,18,27,25
true,23,5,7,1,9,16,3,19,11
true,7,24,18,1,9,16,12,3,27
true,12,14,5,16,20,10,25,23,1
true,5,20,10,16,14,12,3,1,8
true,24,11,15,1,5,8,19,22,27
true,2,10,21,12,27,8,24,6,14
true,9,14,24,12,20,18,3,22,1
true,27,21,15,11,13,6,1,9,17
true,27,17,19,15,5,13,24,9,22
true,1,14,20,3,5,16,26,22,24
true,27,18,25,23,9,3,16,5,20
true,26,9,13,24,7,15,17,21,5
true,13,10,5,8,24,27,16,22,2
true,4,7,26,24,15,19,10,1,21
true,21,23,16,6,9,26,2,12,19
true,3,24,1,22,14,6,27,11,17
true,24,5,3,19,11,27,15,7,9
true,25,14,16,5,7,18,27,20,1
true,21,13,19,27,8,23,2,5,17
true,8,10,16,5,24,20,22,26,12
true,14,6,12,4,2,22,8,27,20
true,10,27,3,1,24,13,7,17,21
true,25,1,27,23,19,5,16,10,14
true,13,6,10,26,16,23,8,20,18
true,3,5,24,17,11,13,26,1,19
true,24,21,3,16,11,14,9,19,27
true,20,25,8,18,5,27,22,11,13
true,10,21,7,27,1,23,14,4,17
true,6,21,18,27,13,16,10,8,3
true,19,2,11,21,13,15,27,17,24
true,13,24,2,20,4,15,11,22,18
true,1,27,11,5,20,18,14,23,25
true,13,20,4,22,1,11,18,26,6
true,1,17,27,10,7,15,23,12,4
true,22,11,24,3,20,7,5,9,15
true,14,12,19,17,27,5,3,8,24
true,16,11,8,25,19,3,13,6,1
true,22,8,12,17,14,5,27,25,20
true,2,26,18,14,10,6,8,21,12
true,21,18,15,1,9,4,6,12,23
true,24,5,12,7,20,2,18,10,27
true,12,3,26,1,18,8,24,10,14
true,25,19,23,27,8,5,16,12,1
true,24,27,17,5,12,10,22,20,7
true,19,14,12,24,26,1,7,4,21
true,2,10,25,20,27,17,8,5,22
true,7,26,22,16,1,24,14,11,19
true,7,22,20,17,27,2,4,9,15
true,5,7,10,16,20,18,14,25,1
true,18,3,9,27,7,15,23,21,5
true,6,21,1,23,12,14,18,10,8
true,10,7,4,25,19,1,27,15,17
true,17,6,3,27,1,8,25,11,20
true,6,2,27,8,10,14,24,22,18
true,3,24,18,5,26,20,8,14,16
true,27,22,16,4,14,25,7,11,18
true,6,17,19,22,14,24,4,2,27
true,3,7,1,17,15,13,5,27,24
true,15,1,19,24,13,17,21,8,4
true,8,14,1,18,26,16,12,24,22
true,9,2,24,16,20,7,27,14,12
true,16,26,1,10,5,3,19,14,23
true,3,1,21,26,12,24,16,19,9
true,10,2,17,5,25,21,19,8,15
true,25,3,19,27,16,5,11,7,14
true,14,17,5,10,1,23,19,26,3
true,16,19,26,9,5,7,11,2,23
true,13,11,18,3,9,5,22,27,16
true,16,14,9,11,4,27,7,21,2
true,27,13,3,11,17,1,5,9,15
true,12,27,9,15,22,5,18,7,20
true,3,11,23,5,7,13,16,1,21
true,16,12,26,21,9,7,24,4,19
true,20,4,14,12,1,18,23,6,27
true,27,18,8,13,22,20,4,11,6
true,22,9,15,3,18,11,5,24,13
true,13,20,4,10,8,15,2,23,17
true,21,13,16,23,6,4,1,9,18
true,27,6,15,18,25,20,1,9,23
true,10,16,23,27,6,2,8,20,13
true,12,24,14,10,16,26,18,22,1
true,6,20,2,14,10,25,22,12,27
true,2,15,20,23,27,4,9,11,7
true,1,23,21,3,7,26,10,13,5
true,25,12,5,17,3,22,19,15,27
true,5,22,10,20,7,13,17,3,26
true,3,5,23,7,10,26,16,13,18
true,26,22,2,17,15,11,24,9,20
true,8,26,21,14,4,24,1,19,10
true,9,12,2,18,7,4,27,24,15
true,27,15,2,13,18,21,4,23,6
true,8,18,22,27,5,24,20,15,11
true,14,27,7,19,2,11,5,22,16
true,14,22,20,9,12,7,26,5,1
true,12,3,23,21,8,10,6,26,14
true,19,21,17,8,6,11,13,24,1
true,19,27,1,23,10,15,21,3,8
true,24,9,27,17,7,22,1,19,11
true,27,19,24,5,17,11,22,3,7
true,8,16,25,3,11,20,13,6,18
true,16,2,22,27,12,24,8,6,20
true,23,15,17,21,1,8,3,13,27
true,23,7,21,19,15,5,12,25,9
true,7,1,18,13,4,21,9,11,15
true,19,14,17,21,23,1,7,27,12
true,9,1,27,20,25,22,7,5,17
true,1,11,21,4,15,24,9,6,17
true,11,9,13,2,26,17,23,5,7
true,5,12,23,10,21,16,25,1,3
true,16,10,8,4,21,6,27,24,14
true,26,1,8,22,12,18,10,15,3
true,24,2,19,13,26,10,16,5,7
true,12,6,10,8,14,2,26,23,21
true,18,9,12,20,5,27,2,25,14
true,16,7,1,19,9,14,25,22,27
true,5,25,19,13,27,16,7,1,22
true,9,25,19,12,2,7,4,23,21
true,13,21,18,3,1,16,6,9,24
true,5,26,18,24,8,12,2,21,16
true,17,8,20,14,2,27,22,25,12
true,26,16,12,14,3,7,9,24,21
true,20,15,8,23,27,6,13,11,18
true,1,13,19,23,16,21,10,27,25
true,8,13,3,27,24,5,18,16,11
true,1,17,20,8,23,3,14,6,27
true,5,24,14,12,9,21,26,17,2
true,2,8,25,6,27,10,21,17,14
true,22,3,19,12,26,24,9,16,6
true,1,27,18,9,22,24,13,20,7
true,19,6,17,8,26,3,24,10,15
true,9,26,5,20,7,23,2,15,11
true,14,23,6,20,10,26,4,12,8
true,22,6,16,24,19,2,9,11,26
true,12,15,10,22,24,8,2,18,5
true,1,15,24,10,3,21,7,19,17
true,8,25,14,17,23,12,27,3,6
true,19,16,10,25,21,1,3,5,27
true,15,26,8,10,20,18,12,1,22
true,1,27,5,15,23,11,25,7,13
true,4,22,2,12,27,18,8,25,16
true,3,16,12,19,10,14,27,7,24
true,8,12,25,4,14,21,1,18,23
true,1,4,23,8,27,15,17,11,21
true,27,18,8,22,13,11,20,6,15
true,7,14,3,20,12,26,10,23,17
true,22,26,15,7,17,24,2,10,19
true,27,23,4,1,17,15,6,9,21
true,18,13,1,20,10,3,15,5,22
true,7,1,3,10,14,21,19,25,5
true,22,1,3,9,20,7,27,14,11
true,9,14,2,20,12,25,27,5,17
true,20,27,23,25,4,6,1,12,8
true,3,5,18,24,21,11,7,26,15
true,13,15,17,10,2,19,27,24,4
true,17,1,15,25,5,13,21,9,23
true,27,9,15,23,13,4,21,11,25
true,24,18,8,14,4,10,16,22,26
true,9,17,27,25,22,6,20,12,1
true,6,11,18,27,3,20,13,23,1
true,23,15,25,1,13,27,5,9,3
true,26,10,23,7,13,5,15,21,18
true,19,23,3,10,12,1,25,17,15
true,14,20,23,8,26,3,10,1,17
true,8,23,3,27,25,20,1,16,5
true,23,2,7,12,20,9,4,16,26
true,4,24,6,8,1,27,12,15,17
true,1,23,11,21,18,27,16,14,25
true,6,15,11,2,24,22,9,4,26
true,25,20,12,27,10,16,1,14,8
true,26,11,9,24,14,21,2,7,19
true,22,14,1,18,8,25,6,3,12
true,15,12,17,2,6,10,4,8,19
true,24,18,16,3,14,9,6,1,21
true,19,4,13,23,15,21,10,2,8
true,15,12,1,24,8,5,26,21,3
true,13,1,27,3,15,18,5,8,20
true,21,12,9,1,6,27,25,19,16
true,14,9,16,11,25,3,21,19,6
true,14,18,5,16,27,2,25,12,7
true,26,15,18,24,4,1,22,12,20
true,2,18,4,6,24,20,16,10,22
true,1,5,17,19,24,21,3,10,12
true,12,10,8,5,17,23,14,25,21
true,11,13,7,24,3,16,21,5,1
true,1,8,15,12,20,17,3,10,25
true,25,6,18,14,11,2,27,4,22
true,25,13,18,16,5,3,22,7,20
true,5,13,1,11,26,22,7,19,16
true,8,22,11,24,2,16,13,20,26
true,10,1,6,19,15,24,27,12,22
true,6,24,18,8,16,13,22,27,2
true,8,11,22,20,26,2,6,14,18
true,5,25,3,7,17,1,11,20,27
true,14,19,16,2,8,12,21,27,25
true,6,25,16,12,14,10,4,8,23
true,13,1,24,15,18,26,9,22,3
true,24,9,13,27,6,15,20,1,22
true,8,22,11,6,16,4,2,13,18
true,21,25,19,3,13,1,5,17,9
true,1,25,19,23,27,7,10,15,13
true,11,6,20,22,18,27,8,13,2
true,21,15,1,19,12,24,6,3,17
true,5,27,18,7,20,10,15,23,13
true,8,1,3,19,23,12,16,6,21
true,22,24,16,18,12,14,7,2,20
true,14,3,27,7,25,17,21,12,5
true,18,27,22,6,2,16,4,20,25
true,6,1,25,3,9,16,11,18,21
true,13,9,11,24,17,22,4,27,15
true,26,17,19,13,23,2,21,11,5
true,18,9,23,2,11,5,16,13,26
true,1,3,5,9,20,13,11,24,27
true,23,25,3,10,1,8,27,16,13
true,4,13,18,27,2,8,11,16,22
true,20,9,6,22,18,24,15,26,4
true,18,16,8,3,13,11,6,22,27
true,13,5,1,17,26,8,22,24,10
true,7,11,22,17,9,1,15,27,25
true,16,8,13,27,25,22,11,6,4
true,23,21,19,16,1,12,25,3,10
true,13,5,1,26,7,22,19,24,10
true,13,6,4,1,20,18,25,10,22
true,4,20,11,16,25,13,1,8,22
true,6,18,10,24,8,4,26,13,15
true,10,15,20,18,7,24,5,27,12
true,16,6,18,9,14,24,3,20,1
true,18,14,1,22,9,5,16,11,26
true,25,19,22,27,16,3,1,11,9
true,27,23,21,13,15,25,19,9,6
true,12,10,20,26,4,22,24,7,1
true,17,4,21,6,9,19,25,27,12
true,5,23,2,19,9,11,25,27,21
true,13,17,8,23,2,27,19,5,25
true,1,6,18,20,12,16,14,9,25
true,4,12,25,14,21,1,9,18,16
true,27,25,17,9,3,20,5,11,15
true,10,7,20,18,12,15,3,25,27
true,22,15,20,5,24,8,10,27,13
true,2,7,5,13,16,24,26,11,21
true,12,1,25,23,5,8,19,27,15
true,11,6,20,16,27,25,22,4,1
true,7,4,27,25,20,15,22,10,18
true,8,24,12,14,1,16,3,27,19
true,17,21,1,5,27,7,10,14,23
true,20,11,22,7,17,15,9,27,24
true,3,9,26,15,17,19,12,1,21
true,16,22,4,18,24,27,10,2,7
true,11,3,16,27,13,24,18,1,9
true,20,4,9,18,1,22,7,16,27
true,5,27,25,23,18,20,11,9,1
true,20,15,10,7,5,22,12,27,24
true,15,1,26,6,3,17,11,23,21
true,9,11,4,27,7,16,14,19,22
true,2,12,20,14,6,18,24,8,27
true,21,17,19,10,2,13,26,7,23
true,14,23,18,9,11,7,20,25,3
true,8,15,13,3,1,19,25,17,22
true,19,1,8,14,17,22,3,27,6
true,12,26,20,15,5,18,1,8,23
true,3,26,23,9,7,5,20,11,18
true,12,17,21,23,1,3,19,10,25
true,8,16,2,19,10,27,13,25,22
true,16,23,26,12,9,14,3,7,21
true,9,25,21,2,18,23,12,16,27
true,13,8,23,4,25,10,6,2,18
true,27,10,18,8,24,12,3,6,14
true,1,26,23,7,14,17,11,9,4
true,6,10,3,8,13,27,17,15,1
true,22,4,9,16,2,19,24,7,27
true,18,9,1,11,3,5,14,22,20
true,8,4,18,24,2,15,13,6,21
true,3,27,18,6,16,12,25,9,22
true,21,24,17,26,10,2,13,19,4
true,9,17,27,11,1,22,4,6,15
true,5,17,12,8,10,26,14,19,21
true,15,5,3,13,7,17,21,23,19
true,16,3,12,10,1,22,18,14,27
true,6,10,27,20,16,3,12,18,22
true,13,11,15,3,1,18,5,20,27
true,27,13,4,11,25,15,1,20,17
true,27,8,6,11,19,14,4,21,25
true,22,24,20,4,18,26,1,14,7
true,5,7,15,1,22,3,25,13,19
true,4,21,12,24,2,10,18,15,8
true,13,3,15,8,10,1,20,25,23
true,14,9,16,1,21,6,3,23,12
true,20,4,6,23,13,8,27,1,11
true,12,19,1,10,21,23,3,17,5
true,2,12,5,21,10,23,27,19,14
true,26,9,24,13,21,15,3,5,19
true,15,3,23,8,5,25,21,10,17
true,17,11,27,15,5,13,9,22,2
true,18,7,5,10,21,23,13,16,2
true,5,27,18,1,9,14,25,7,21
true,21,17,8,14,19,1,6,4,11
true,15,7,17,3,10,21,23,13,19
true,3,24,5,10,8,20,14,1,22
true,15,8,5,1,18,25,27,21,12
true,6,23,9,1,11,25,20,14,4
true,14,22,24,7,5,2,20,27,18
true,1,25,15,5,7,17,22,19,10
true,5,10,3,21,1,15,7,27,12
true,2,19,22,8,27,16,4,25,6
true,17,4,19,8,1,10,22,13,6
true,15,3,24,6,18,8,13,27,1
true,27,21,12,10,23,1,18,25,15
true,14,9,25,27,11,4,21,1,18
true,24,13,22,8,10,2,18,27,4
true,14,21,19,8,6,3,24,16,12
true,1,17,3,27,9,15,19,11,6
true,12,3,24,8,19,10,5,26,21
true,3,1,16,5,20,22,14,24,12
true,4,2,18,16,13,22,8,11,26
true,14,17,10,20,1,22,8,26,3
true,1,5,17,25,11,21,3,19,23
true,27,5,11,7,13,25,23,15,20
true,19,25,7,1,27,23,21,5,11
true,10,8,4,24,18,2,27,15,20
true,3,14,18,5,7,21,23,27,11
true,21,8,5,11,27,23,16,13,19
true,15,13,11,2,23,9,21,5,18
true,15,13,5,24,8,22,20,27,17
true,13,6,9,4,22,24,16,20,27
true,6,8,25,10,27,2,4,18,14
true,27,19,12,10,21,7,23,3,25
true,17,1,19,21,27,10,23,25,7
true,6,4,11,9,19,13,22,16,24
true,19,15,21,17,6,2,12,24,8
true,27,1,19,21,5,8,10,25,14
true,19,23,13,21,3,16,5,8,25
true,17,13,9,21,27,11,7,3,19
true,13,1,11,16,19,7,9,27,24
true,13,7,9,20,15,26,18,24,3
true,2,22,15,4,24,8,6,12,17
true,11,6,27,9,24,2,20,17,22
true,9,26,14,12,1,18,6,16,4
true,13,6,22,10,4,15,8,20,27
true,6,15,19,3,10,23,8,12,1
true,16,19,25,21,23,6,3,13,27
true,14,8,1,10,16,5,24,19,12
true,12,21,3,10,16,19,25,1,14
true,9,17,21,5,7,19,13,26,11
true,5,18,20,23,11,13,16,1,3
true,10,3,26,12,5,19,14,21,24
true,24,12,7,17,14,22,27,4,10
true,20,13,1,4,6,8,18,15,27
true,3,26,1,23,13,5,18,7,9
true,6,21,17,4,2,14,12,26,8
true,24,7,9,22,27,16,20,13,11
true,4,6,10,12,8,2,15,22,27
true,1,7,20,16,26,22,9,3,5
true,11,15,23,1,8,27,6,3,21
true,26,18,7,16,14,24,12,5,2
true,27,7,16,24,3,19,1,11,14
true,8,22,6,24,1,10,27,20,3
true,23,20,4,17,15,27,6,11,9
true,15,24,4,26,6,13,8,22,2
true,17,25,23,1,12,27,19,3,21
true,25,5,1,7,18,3,9,12,20
true,2,8,17,21,25,19,10,4,12
true,27,25,5,18,20,3,14,12,23
true,13,11,1,27,19,21,3,5,9
true,1,11,8,4,17,24,14,19,22
true,2,18,11,16,26,8,6,14,20
true,2,20,5,22,18,11,27,24,15
true,8,2,25,22,20,12,27,15,18
true,9,15,11,13,17,1,23,20,25
true,20,11,22,16,9,24,3,14,7
true,7,12,14,1,18,9,23,25,16
true,17,27,14,6,4,19,21,24,2
true,1,6,25,4,18,27,13,15,10
true,25,9,7,3,15,23,18,11,5
true,5,18,27,7,3,25,1,22,9
true,21,9,19,3,24,11,1,16,14
true,22,3,6,26,8,18,14,20,16
true,22,27,18,20,25,10,16,3,14
true,24,3,15,13,1,27,9,11,22
true,6,19,24,22,1,12,8,10,4
true,6,1,20,13,27,8,4,24,10
true,3,26,19,7,17,13,24,22,15
true,10,2,24,7,21,13,18,15,4
true,7,1,9,17,4,21,14,24,26
true,9,18,27,14,20,16,11,24,2
true,22,20,7,27,24,9,1,5,16
true,6,23,13,10,2,27,25,8,19
true,5,9,20,13,25,3,1,15,18
true,25,13,1,8,5,21,27,19,16
true,4,14,21,10,18,8,23,16,12
true,12,3,19,21,14,8,1,5,23
true,22,6,16,8,19,1,12,26,10
true,22,12,27,16,14,9,5,18,2
true,11,17,1,8,15,4,25,23,21
true,25,23,16,27,8,1,18,6,12
true,24,18,9,5,20,22,2,14,16
true,27,2,22,18,4,14,6,16,8
true,5,17,3,7,11,1,20,24,14
true,23,20,14,25,12,6,1,18,8
true,16,20,6,4,26,22,10,24,13
true,9,2,21,5,25,13,11,17,27
true,22,1,26,13,8,10,24,6,3
true,26,7,24,11,15,22,1,3,18
true,3,16,5,27,11,9,14,19,25
true,3,23,18,5,9,27,20,14,1
true,22,7,9,5,16,13,3,24,26
true,27,3,17,22,6,1,8,20,25
true,10,8,5,16,21,3,25,19,27
true,8,16,10,2,20,25,18,13,4
true,25,10,27,20,6,8,22,14,4
true,13,27,24,9,1,6,18,20,22
true,9,1,26,24,20,14,3,5,18
true,8,14,3,23,19,21,25,10,27
true,10,27,23,25,1,14,8,16,20
true,21,1,15,3,7,26,13,11,9
true,27,10,1,19,4,21,17,13,6
true,27,19,25,21,10,17,14,5,2
true,16,26,24,12,21,19,8,10,4
true,9,17,24,26,1,5,12,7,15
true,6,12,17,8,27,20,1,10,14
true,25,15,7,21,18,9,23,1,12
true,27,17,1,12,23,9,3,15,19
true,12,8,17,25,3,19,1,15,6
true,27,19,10,23,21,1,25,12,14
true,16,3,27,11,24,20,18,5,8
true,15,5,1,17,19,11,13,8,25
true,1,8,18,14,20,10,3,24,22
true,12,2,9,17,27,6,20,14,24
true,8,3,27,11,17,19,24,14,1
true,1,25,16,7,3,18,11,13,23
true,26,7,10,3,20,24,13,15,18
true,21,6,18,23,27,12,25,4,16
true,1,10,15,8,17,25,27,5,20
true,10,27,15,8,5,22,3,13,24
true,27,15,3,22,19,24,17,11,7
true,12,14,9,27,19,17,21,2,5
true,7,26,21,17,5,3,1,24,14
true,11,8,22,6,1,3,26,17,15
true,10,24,5,17,22,14,26,8,12
true,25,3,23,1,13,19,15,11,17
true,1,12,4,18,27,10,21,6,24
true,1,3,11,6,27,16,25,23,8
true,23,12,5,26,8,10,3,14,17
true,17,20,24,1,15,27,5,8,13
true,23,13,21,17,4,19,6,25,1
true,22,3,27,11,5,20,24,13,1
true,21,26,1,7,24,4,19,11,14
true,17,9,15,5,2,11,20,26,7
true,13,10,24,27,1,8,3,15,19
true,21,9,7,5,3,19,17,26,13
true,7,3,5,25,10,18,12,14,1
true,27,12,10,19,25,4,1,14,22
true,13,20,1,25,27,17,8,10,23
true,17,7,15,11,24,22,9,5,1
true,26,18,11,1,6,20,14,24,22
true,6,3,8,1,13,17,15,21,24
true,16,5,18,8,13,23,26,20,3
true,10,3,27,20,14,8,23,12,1
true,6,8,2,4,27,19,13,11,15
true,7,11,13,5,25,1,16,23,27
true,2,15,20,27,8,22,18,4,13
true,8,19,23,10,6,16,12,1,27
true,22,18,9,6,3,27,25,13,15
true,12,16,20,1,22,10,3,25,18
true,5,7,3,24,19,11,26,13,16
true,5,21,16,13,23,25,7,2,19
true,17,7,11,25,13,3,1,5,23
true,9,18,1,24,3,11,14,22,7
true,8,16,25,1,14,10,27,6,4
true,27,22,3,19,9,14,12,17,5
true,1,6,24,12,14,3,18,16,26
true,23,18,13,27,21,8,1,10,25
true,13,7,9,23,5,17,19,26,15
true,10,1,5,8,21,25,19,3,12
true,8,12,25,27,10,23,15,17,4
true,20,1,5,16,8,27,14,18,25
true,5,1,19,24,22,3,10,26,14
true,10,6,20,23,13,25,27,2,17
true,11,18,5,2,15,22,9,26,20
true,7,27,21,5,13,25,10,3,17
true,22,3,19,15,17,25,8,1,6
true,11,14,2,16,23,18,21,6,4
true,1,13,11,22,18,27,9,4,15
true,27,5,25,1,12,15,17,8,21
true,16,24,8,3,19,1,12,10,22
true,1,10,8,13,18,22,4,26,16
true,20,14,1,26,16,5,24,18,10
true,6,1,17,15,26,8,19,23,4
true,17,23,8,25,19,1,11,3,27
true,19,16,27,3,22,24,1,14,11
true,6,11,15,20,8,2,22,17,27
true,27,8,17,2,20,11,13,6,25
true,15,18,13,26,4,10,1,24,6
true,15,10,13,6,25,19,3,27,8
true,14,27,2,6,12,20,8,23,4
