concept,x1,x2,x3,x4,x5,x6
true,1,11,14,8,5,3
true,18,6,1,3,16,9
true,6,17,4,10,12,1
true,11,13,2,7,15,18
true,15,2,10,18,5,8
true,8,4,18,6,15,2
true,5,7,17,9,3,14
true,4,13,8,16,2,11
true,2,5,13,7,18,11
true,1,11,5,8,15,18
true,3,13,8,18,5,10
true,13,1,9,15,17,7
true,14,7,5,11,3,16
true,13,10,18,15,7,3
true,5,11,18,7,9,14
true,13,15,8,5,1,17
true,18,15,3,5,7,12
true,1,14,12,5,16,9
true,4,12,1,9,7,14
true,12,7,3,14,18,9
true,18,5,1,16,11,7
true,1,16,8,5,18,3
true,7,18,13,15,11,1
true,3,9,14,6,16,12
true,1,15,8,4,18,10
true,12,18,7,14,1,16
true,11,15,9,3,17,7
true,8,5,2,13,10,18
true,8,15,10,17,13,2
true,13,1,15,7,5,3
true,4,9,14,1,12,17
true,6,10,16,12,1,8
true,11,6,18,3,16,9
true,7,1,3,12,18,15
true,15,4,2,9,7,11
true,10,16,12,7,2,4
true,12,1,6,15,8,10
true,10,8,2,18,15,4
true,11,17,4,9,1,14
true,6,13,8,2,4,10
true,11,16,6,1,9,13
true,13,2,5,16,9,7
true,18,8,1,14,6,3
true,17,12,8,2,15,10
true,15,9,7,13,11,5
true,18,2,15,13,6,9
true,2,6,15,10,8,4
true,8,14,18,12,2,10
true,4,10,6,2,18,13
true,1,6,14,18,9,3
true,1,5,12,16,7,14
true,15,8,4,17,6,2
true,3,11,15,7,1,5
true,9,4,7,1,18,14
true,6,18,11,15,2,13
true,15,7,3,18,13,9
true,8,18,14,6,1,11
true,18,8,4,13,6,2
true,1,4,14,9,12,18
true,13,17,1,10,8,6
true,12,2,8,10,6,15
true,6,18,8,3,16,12
true,16,13,2,10,8,4
true,3,10,17,1,15,12
true,14,12,16,10,18,3
true,7,3,9,1,14,16
true,1,10,8,18,12,4
true,5,7,14,11,16,2
true,10,1,12,18,14,5
true,4,18,12,15,10,2
true,1,11,9,14,17,4
true,15,10,13,7,1,17
true,18,2,5,10,15,12
true,9,4,18,1,14,16
true,6,3,18,11,8,14
true,11,16,14,6,2,9
true,9,16,2,13,11,18
true,5,16,14,12,2,7
true,4,12,10,7,16,14
true,7,1,14,9,12,3
true,4,6,9,13,17,15
true,13,3,5,15,18,1
true,17,15,2,8,6,11
true,9,13,7,5,18,2
true,12,8,16,10,4,6
true,1,14,9,5,7,17
true,2,11,13,18,5,15
true,13,6,3,15,1,11
true,16,9,1,14,12,6
true,16,3,9,6,18,12
true,14,7,11,9,4,1
true,4,2,18,10,6,14
true,9,15,1,12,18,7
true,9,6,11,4,18,16
true,11,4,14,9,2,18
true,5,10,7,2,15,18
true,16,14,1,7,18,10
true,2,13,4,15,6,9
true,11,15,18,3,7,9
true,12,10,18,16,7,2
false,4,14,2,13,10,2
false,12,14,12,12,6,6
false,18,9,6,13,17,12
false,14,12,18,14,18,2
false,13,1,14,2,2,3
false,5,5,9,15,4,8
false,7,15,12,14,12,5
false,10,9,6,5,1,5
false,4,11,10,3,5,9
false,4,16,14,17,2,11
false,2,1,10,10,12,8
false,16,12,15,17,2,9
false,5,12,12,1,12,5
false,1,5,15,1,4,14
false,6,18,3,6,3,17
false,2,4,16,7,5,1
false,6,7,6,16,6,1
false,2,17,15,15,2,7
false,15,7,4,11,12,16
false,8,6,5,8,4,3
false,6,8,17,4,6,1
false,4,13,18,8,15,7
false,6,11,16,3,2,9
false,7,14,13,8,9,14
false,4,7,12,12,4,9
false,10,3,11,1,12,17
false,9,16,11,14,16,11
false,6,9,4,6,4,12
false,7,10,18,14,16,10
false,14,9,18,4,2,10
false,9,2,10,13,7,3
false,13,4,14,9,12,4
false,18,4,7,8,12,5
false,10,13,1,17,14,17
false,11,14,18,16,4,14
false,5,11,4,1,1,7
false,13,12,8,4,13,7
false,11,18,14,7,11,5
false,6,5,14,2,14,13
false,7,16,1,13,7,11
false,15,13,17,18,2,8
false,9,17,10,3,17,15
false,15,4,16,10,1,7
false,18,11,17,16,6,12
false,10,16,9,9,9,11
false,7,3,10,6,16,2
false,3,3,1,3,1,1
false,6,12,12,18,4,15
false,9,14,3,13,13,1
false,15,3,11,16,5,4
false,12,9,18,4,11,6
false,9,6,16,8,11,17
